time_slot,power_median,power_p25,power_p75,power_mean,power_std
07:30,0.0,0.0,0.0,0.0,0.0
07:40,0.0,0.0,0.0,0.0,0.0
07:50,76.5,65.75,86.5,65.83333333333333,33.8787052094183
08:00,122.5,107.25,128.0,119.33333333333333,16.23165631310208
08:10,149.0,146.5,160.5,155.16666666666666,23.24148589627321
08:20,185.0,163.25,204.5,191.83333333333334,39.79154013941489
08:30,200.0,184.5,226.5,187.14285714285714,90.05263011415153
08:40,212.0,201.5,250.0,214.57142857142858,114.80542545666435
08:50,263.0,222.5,306.5,265.2857142857143,117.76206843421511
09:00,271.0,236.5,318.0,285.14285714285717,122.5417324444052
09:10,279.0,252.0,320.5,311.42857142857144,139.5013227450516
09:20,315.0,286.0,352.5,370.2857142857143,158.9305029310131
09:30,414.0,388.5,442.5,465.57142857142856,160.17371522075354
09:40,554.0,526.0,614.0,603.7142857142857,144.9766812119732
09:50,677.0,658.5,729.0,694.4285714285714,53.798566098788484
10:00,842.0,800.5,846.5,826.7142857142857,32.89232071327231
10:10,994.0,973.5,1004.0,961.0,106.11471779792532
10:20,1178.0,1140.5,1207.5,1079.4285714285713,303.2176650212721
10:30,1326.0,1238.0,1356.5,1169.857142857143,399.1087690389796
10:40,1510.0,1283.0,1537.0,1290.2857142857142,465.958408117332
10:50,1675.0,1533.5,1703.0,1439.0,564.9451300790192
11:00,1801.0,1722.5,1853.5,1637.0,663.0191048026695
11:10,1941.0,1749.0,1979.5,1675.5714285714287,617.7741920645053
11:20,2093.0,1931.0,2181.0,1897.4285714285713,694.9704687114067
11:30,2242.0,2138.0,2299.0,1976.0,706.9615736846428
11:40,2289.0,2149.0,2413.5,2054.0,729.8783003578976
11:50,2595.0,2574.5,2725.0,2354.4285714285716,828.414118892811
12:00,2730.5,2685.75,2834.5,2468.8333333333335,862.1919546520176
12:10,2888.0,2758.5,2958.0,2609.285714285714,811.1850825152285
12:20,3007.0,2847.5,3045.0,2643.285714285714,957.3779668597828
12:30,3046.0,1639.5,3242.5,2379.8571428571427,1255.0122746506545
12:40,3078.0,1633.0,3246.5,2325.714285714286,1267.8719328446537
12:50,1334.0,1133.5,2435.0,1733.5714285714287,1211.7990561066435
13:00,1338.0,976.0,1982.0,1549.5714285714287,1027.6602644101888
13:10,2065.0,1468.5,3245.5,2259.0,1285.7266427977609
13:20,2107.0,1623.5,3656.5,2435.0,1385.6276556131522
13:30,1484.0,1251.5,2920.0,2000.7142857142858,1290.310907531684
13:40,1955.0,1696.5,3881.5,2573.1428571428573,1441.9638724752467
13:50,1423.0,1174.0,2592.0,1920.7142857142858,1110.0148218658637
14:00,1500.0,1292.5,2599.0,1961.7142857142858,1188.9084229221519
14:10,2122.0,1113.5,3353.5,2172.4285714285716,1327.932083748118
14:20,2332.0,1856.0,3710.5,2634.5714285714284,1204.32745507508
14:30,2590.0,1786.5,3767.5,2681.714285714286,1233.9547147668095
14:40,2163.0,1649.5,3286.0,2374.1428571428573,1158.8366909062192
14:50,1709.0,1464.5,2767.5,2104.285714285714,1187.6612471977176
15:00,1920.0,1424.0,3333.0,2242.0,1259.4354555381813
15:10,2480.0,1386.0,3101.5,2230.8571428571427,1186.2045113963877
15:20,1488.0,1176.0,2613.5,1916.0,1230.843342319945
15:30,1372.0,922.5,2914.5,1931.857142857143,1293.2287021986776
15:40,1140.0,877.5,3617.0,2145.4285714285716,1624.0075797383518
15:50,1113.0,781.5,2442.5,1683.142857142857,1348.9632350526865
16:00,1059.0,778.0,2349.5,1648.0,1266.3515836185989
16:10,1491.0,1041.5,2933.5,1936.857142857143,1223.0709203437373
16:20,1213.0,1106.5,2286.0,1677.4285714285713,1113.6302284485123
16:30,1339.0,1256.5,2321.0,1733.0,1009.4399437311761
16:40,1239.0,1002.0,2194.0,1638.4285714285713,1035.2123545667425
16:50,1134.0,1018.0,2967.0,1876.5714285714287,1065.0815081709095
17:00,2661.0,1363.0,2758.0,2101.8571428571427,890.0246117517253
17:10,2562.0,1528.0,2773.5,2110.4285714285716,882.5615856023603
17:20,1777.0,817.5,2702.0,1726.4285714285713,1052.111980279485
17:30,1644.0,589.0,2078.5,1416.5714285714287,941.8589521336438
17:40,1030.0,496.0,1849.0,1220.857142857143,927.1581002488965
17:50,916.0,445.0,1721.0,1128.2857142857142,858.8146315873825
18:00,1010.0,797.5,1447.5,1090.5714285714287,614.3410717028061
18:10,767.0,486.5,1310.0,940.1428571428571,714.3261226665378
18:20,553.0,326.0,1016.0,812.8571428571429,748.9244351226694
18:30,692.0,281.0,869.0,760.4285714285714,677.5777586724781
18:40,524.0,270.0,575.0,587.7142857142857,523.8274888694159
18:50,372.0,276.0,403.5,424.57142857142856,330.7546205990463
19:00,228.0,203.5,255.0,256.2857142857143,145.26724141585203
19:10,104.0,93.0,150.5,122.42857142857143,45.752439435353764
19:20,34.0,30.0,57.0,45.857142857142854,31.682953205304646
19:30,-10.0,-12.5,-9.0,-10.142857142857142,4.59813626840888
19:40,0.0,-7.5,0.0,-3.3333333333333335,5.163977794943222
